spot,price,delta,gamma,vega_per_1pct,theta_per_year,theta_per_day,rho_per_1pct
60.0,0.0007073604940436989,0.00033530940769849486,0.00014451841711337772,0.0005202663016081598,-0.011174700585937397,-3.06156180436641e-05,9.705601983932995e-05
62.0,0.0017546665519835927,0.0007633895087236776,0.0002994798598135099,0.0011512005811231323,-0.024829484276498184,-6.802598431917311e-05,0.00022787741494442208
64.0,0.004040215069361239,0.0016140343073851688,0.0005761261509284966,0.002359812714203123,-0.05112617135750043,-0.00014007170234931626,0.0004962899030164479
66.0,0.00869091841265529,0.003189306672533298,0.0010352258010009865,0.004509443589160299,-0.0981740954780611,-0.00026897012459742764,0.001009016609872712
68.0,0.01756674282072551,0.005923388133959217,0.001747044559078789,0.008078334041180324,-0.1767999594069393,-0.0004843834504299707,0.0019261182514425062
70.0,0.03353887538523603,0.010393620974620188,0.002782695414435931,0.013635207530736063,-0.3001293455743959,-0.0008222721796558792,0.003470072964190886
72.0,0.06077007317435035,0.017310456409010435,0.00420193519339634,0.021782832042566633,-0.4824722516505651,-0.001321841785344014,0.005927913941372004
74.0,0.10494907075634141,0.027481057949809314,0.00603945557897473,0.033072058750465615,-0.7375376530029308,-0.0020206511041176187,0.009643246087647737
76.0,0.17342519265677714,0.04174636961025384,0.008292575693874836,0.047897917207821064,-1.076196048138754,-0.002948482323667819,0.014996494488612575
78.0,0.2751949549820836,0.06089750746321423,0.010913333342755507,0.06639672005732453,-1.5041748766826148,-0.004121027059404424,0.022374053135743133
80.0,0.42070977692011713,0.08558269685506108,0.013807208743080529,0.08836613595571538,-2.020151860204497,-0.005534662630697252,0.032129529857423844
82.0,0.6214999772850263,0.11621911681526327,0.01683930996970156,0.1132275202362733,-2.6146741090152785,-0.0071634907096309,0.04454233800783281
84.0,0.8896395269565058,0.15292403998915508,0.01984721986497094,0.140041983367235,-3.270182465360435,-0.008959404014686125,0.0597798991606626
86.0,1.237102203298262,0.1954765883854711,0.02265831029644129,0.1675808629524798,-3.9622016129307025,-0.01085534688474165,0.07786942198926126
88.0,1.6750773896626256,0.2433161108957593,0.025108519716706062,0.19444037668617178,-4.661526374593376,-0.012771305135872263,0.09868370184582098
90.0,2.21331958989515,0.29557697613772416,0.027059506765998963,0.21918200480459163,-5.3370512306928815,-0.014622058166281867,0.12194304131250013
92.0,2.8595994263806013,0.35115387748465526,0.028411664058040353,0.24047632458725363,-5.958792789569573,-0.016325459697450886,0.1472327865110384
94.0,3.6193076688724375,0.4087876667412143,0.02911147516942889,0.2572289945970737,-6.500656135444817,-0.017810016809437855,0.17403366502400852
96.0,4.4952415977479205,0.4671598369884279,0.02915283512380309,0.2686725285009694,-6.942582264167553,-0.019020773326486447,0.20176051376570578
98.0,5.487579200075565,0.5249840675934093,0.02857296800520206,0.2744147847219606,-7.271854279401599,-0.01992288843671671,0.22980429712039274
100.0,6.594025324130108,0.5810852836085031,0.02744428809969944,0.27444288099699443,-7.483497488167395,-0.020502732844294234,0.257572515183601
102.0,7.810097805562037,0.6344597786772566,0.02586389273300891,0.26908793999422476,-7.579849806609601,-0.02076671179893041,0.28452399809759066
104.0,9.129512101862929,0.6843133734316106,0.023942369482612823,0.2589606683239403,-7.5694813948611595,-0.020738305191400436,0.3101953936751229
106.0,10.544620138564298,0.7300777147883807,0.021793334166199215,0.24486990269141448,-7.465696557602808,-0.02045396317151454,0.33421808814502024
108.0,12.04686185374122,0.7714072551279888,0.01952470161378035,0.22773611962313403,-7.284858641928531,-0.019958516827201452,0.35632560850040784
110.0,13.627194705596693,0.8081609985829596,0.017232236652476904,0.20851006349497056,-7.044749928384597,-0.019300684735300267,0.37635257569264424
112.0,15.276475390768013,0.8403737726492233,0.014995521298234525,0.18810381916505392,-6.7631271152312,-0.018529115384195067,0.394226935729725
114.0,16.985777579635254,0.8682217195608171,0.012876156499973304,0.1673385298736531,-6.456572759688625,-0.017689240437503084,0.4099574922514895
116.0,18.74663834503133,0.8919861149433442,0.01091781219416972,0.14691008088474777,-6.139685273780507,-0.016821055544604127,0.42361875494198303
118.0,20.55123332215088,0.9120187355520729,0.009147642837357568,0.1273717788673668,-5.8246023430455764,-0.015957814638481033,0.4353348873649686
120.0,22.3924860968866,0.9287110109261495,0.007578576754183989,0.10913150526024946,-5.520818652806177,-0.015125530555633362,0.4452641760712567
122.0,24.26412083292537,0.9424682547780503,0.006212039817568237,0.09246000064468564,-5.23523905456433,-0.01434312069743652,0.4535850312499838
124.0,26.160668914500093,0.9536894758401511,0.005040760544793226,0.07750673413674064,-4.972401037176958,-0.013623016540210845,0.4604841304483932
126.0,28.077440740496357,0.9627526602155491,0.004051402311449765,0.06432006309657651,-4.73480263239308,-0.012972062006556385,0.46614697223331414
128.0,30.010473145742736,0.9700050048606296,0.0032268628641134232,0.052868921165634346,-4.523280390911974,-0.012392549016197189,0.4707508373820892
130.0,31.956461621394055,0.9757573454928191,0.002548161756978803,0.04306393369294179,-4.337393789351793,-0.011883270655758338,0.4744599664633622
132.0,33.91268487865116,0.9802819285980744,0.001995898234446645,0.03477653083699835,-4.175784955805243,-0.011440506728233543,0.4774226484814733
134.0,35.8769275960843,0.9838126881512426,0.001551304909995747,0.027855230963883638,-4.036494247964118,-0.011058888350586625,0.479769863080911
136.0,37.84740558255024,0.9865472667351487,0.0011969483769934072,0.022138757180870064,-3.9172219955290988,-0.010732115056244107,0.48161511346714986
138.0,39.82269617938016,0.9886501370615869,0.0009171399543981983,0.01746601329155929,-3.815534213442138,-0.01045351839299216,0.48305511367559417
140.0,41.80167556667736,0.9902563097125805,0.0006981218093575626,0.013683187463408228,-3.729015305324748,-0.010216480288560953,0.4841710389654195
